host,home,year,category,anti_avoidance_rule,appl_max,conduit,min_rate_max,rate_shopping,min_rate_max_no_aa,rate_shopping_no_aa,min_available,min_available_no_aa,rate_weighted_mean,advantage_over_rest,equally_more_advantageous_conduit_exists,treaty_in_place
IND,MUS,2006,royalties_general,NA,15,1,10,5,10,5,10,10,16.210923031810584,1.2109230318105837,1,1
IND,MUS,2006,shares,NA,0,1,0,0,0,0,0,0,17.93688983725379,17.93688983725379,1,1
IND,MUS,2006,technical_services,NA,0,1,0,0,0,0,0,0,15.32344142882638,15.32344142882638,1,1
IND,MUS,2007,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2007,interest_general,NA,20,1,10,10,10,10,10,10,14.934014577222044,-5.065985422777956,1,1
IND,MUS,2007,land_rich,NA,0,1,0,0,0,0,0,0,18.808654902434178,18.808654902434178,1,1
IND,MUS,2007,royalties_general,NA,15,1,10,5,10,5,10,10,16.132342270974863,1.1323422709748634,1,1
IND,MUS,2007,shares,NA,0,1,0,0,0,0,0,0,17.93688983725379,17.93688983725379,1,1
IND,MUS,2007,technical_services,NA,0,1,0,0,0,0,0,0,15.166279907154935,15.166279907154935,1,1
IND,MUS,2008,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2008,interest_general,NA,20,1,10,10,10,10,10,10,14.78276152067602,-5.21723847932398,1,1
IND,MUS,2008,land_rich,NA,0,1,0,0,0,0,0,0,19.136838914336472,19.136838914336472,1,1
IND,MUS,2008,royalties_general,NA,15,1,10,5,10,5,10,10,16.02319300324044,1.02319300324044,1,1
IND,MUS,2008,shares,NA,0,1,0,0,0,0,0,0,18.138243633870353,18.138243633870353,1,1
IND,MUS,2008,technical_services,NA,0,1,0,0,0,0,0,0,15.05713063942051,15.05713063942051,1,1
IND,MUS,2009,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2009,interest_general,NA,20,1,10,10,10,10,10,10,14.789117314722516,-5.210882685277484,1,1
IND,MUS,2009,land_rich,NA,0,1,0,0,0,0,0,0,19.187685266708446,19.187685266708446,1,1
IND,MUS,2009,royalties_general,NA,15,1,10,5,10,5,10,10,16.02319300324044,1.02319300324044,1,1
IND,MUS,2009,shares,NA,0,1,0,0,0,0,0,0,18.189089986242323,18.189089986242323,1,1
IND,MUS,2009,technical_services,NA,0,1,0,0,0,0,0,0,15.05713063942051,15.05713063942051,1,1
IND,MUS,2010,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2010,interest_general,NA,20,1,10,10,10,10,10,10,14.634020242009665,-5.365979757990335,1,1
IND,MUS,2010,land_rich,NA,0,1,0,0,0,0,0,0,19.187685266708446,19.187685266708446,1,1
IND,MUS,2010,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2010,shares,NA,0,1,0,0,0,0,0,0,18.189089986242323,18.189089986242323,1,1
