ctry1,ctry2,name,Status,Conclusion,Entry,Effective,Termination,ctry1_iso,ctry2_iso,paircode
Lesotho,United Kingdom,Income Tax Treaty(1949),Status: Terminated,1949,NA,1949,1998,LSO,GBR,LSO - GBR
France,Kazakhstan,Income Tax Treaty(1985),Status: Terminated,1985,1987,1988,1996,FRA,KAZ,FRA - KAZ
France,Pakistan,Income Tax Treaty(1966),Status: Terminated,1966,1969,1961,1997,FRA,PAK,FRA - PAK
France,Singapore,Income Tax Treaty(1974),Status: Terminated,1974,1975,1971,2017,FRA,SGP,FRA - SGP
France,Tajikistan,Income Tax Treaty(1985),Status: Terminated,1985,1987,1988,2014,FRA,TJK,FRA - TJK
France,Uzbekistan,Income Tax Treaty(1985),Status: Terminated,1985,1987,1988,2004,FRA,UZB,FRA - UZB
Georgia,India,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,GEO,IND,GEO - IND
Germany,India,Income and Capital Tax Treaty(1959),Status: Terminated,1959,1960,1957,1997,DEU,IND,DEU - IND
Germany,Indonesia,Income and Capital Tax Treaty(1977),Status: Terminated,1977,1979,1976,1992,DEU,IDN,DEU - IDN
Germany,Japan,Income and Capital Tax Treaty(1966),Status: Terminated,1966,1967,1967,2017,DEU,JPN,DEU - JPN
Germany,Kazakhstan,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1983,1980,1996,DEU,KAZ,DEU - KAZ
Germany,Korea (Rep.),Income and Capital Tax Treaty(1976),Status: Terminated,1976,1978,1976,2003,DEU,KOR,DEU - KOR
Germany,Kyrgyzstan,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1983,1980,2007,DEU,KGZ,DEU - KGZ
Germany,Malaysia,Income Tax Treaty(1977),Status: Terminated,1977,1979,1971,2011,DEU,MYS,DEU - MYS
Germany,Pakistan,Income Tax Treaty(1958),Status: Terminated,1958,1960,1957,1995,DEU,PAK,DEU - PAK
Germany,Philippines,Income and Capital Tax Treaty(1983),Status: Terminated,1983,1984,1985,2016,DEU,PHL,DEU - PHL
Germany,Singapore,Income and Capital Tax Treaty(1972),Status: Terminated,1972,1973,1968,2007,DEU,SGP,DEU - SGP
Germany,Tajikistan,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1983,1980,2005,DEU,TJK,DEU - TJK
Germany,Turkmenistan,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1983,1980,2018,DEU,TKM,DEU - TKM
Germany,Uzbekistan,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1983,1980,2002,DEU,UZB,DEU - UZB
Hungary,India,Income Tax Treaty(1986),Status: Terminated,1986,1987,1988,2006,HUN,IND,HUN - IND
India,Indonesia,Income Tax Treaty(1987),Status: Terminated,1987,1987,1988,2017,IND,IDN,IND - IDN
India,Italy,Income Tax Treaty(1981),Status: Terminated,1981,1985,1977,1996,IND,ITA,IND - ITA
India,Japan,Income Tax Treaty(1960),Status: Terminated,1960,1960,1961,1991,IND,JPN,IND - JPN
India,Kazakhstan,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,IND,KAZ,IND - KAZ
India,Kenya,Income Tax Treaty(1985),Status: Terminated,1985,1985,1985,2017,IND,KEN,IND - KEN
Liberia,Sweden,Income Tax Treaty(1969),Status: Terminated,1969,1969,1968,NA,LBR,SWE,LBR - SWE
Libya,Malta,Income Tax Treaty(1972),Status: Terminated,1972,1972,1973,2011,LBY,MLT,LBY - MLT
Malawi,Netherlands,Income Tax Treaty(1969),Status: Terminated,1969,1970,1964,2014,MWI,NLD,MWI - NLD
Malawi,Norway,Income Tax Treaty(1961),Status: Terminated,1961,NA,1960,2013,MWI,NOR,MWI - NOR
Malawi,Sweden,Income Tax Treaty(1958),Status: Terminated,1958,NA,1955,1988,MWI,SWE,MWI - SWE
Mauritius,Norway,Income Tax Treaty(1955),Status: Terminated,1955,1955,1955,1988,MUS,NOR,MUS - NOR
Mauritius,Rwanda,Income Tax Treaty(2001),Status: Terminated,2001,2003,2003,2013,MUS,RWA,MUS - RWA
Mauritius,Senegal,Income Tax Treaty(2002),Status: Terminated,2002,2004,2005,2019,MUS,SEN,MUS - SEN
Mauritius,South Africa,Income Tax Treaty(1996),Status: Terminated,1996,1997,1997,2016,MUS,ZAF,MUS - ZAF
Mauritius,South Africa,Income Tax Treaty(1960),Status: Terminated,1960,1960,1951,1997,MUS,ZAF,MUS - ZAF
Mauritius,Sweden,Income Tax Treaty(1992),Status: Terminated,1992,1992,1993,2013,MUS,SWE,MUS - SWE
Morocco,Romania,Income Tax Treaty(1981),Status: Terminated,1981,1987,1986,2007,MAR,ROU,MAR - ROU
Morocco,Sweden,Income and Capital Tax Treaty(1961),Status: Terminated,1961,1961,1961,2008,MAR,SWE,MAR - SWE
Namibia,South Africa,Income Tax Treaty(1959),Status: Terminated,1959,1959,1955,2000,NAM,ZAF,NAM - ZAF
Netherlands,South Africa,Income Tax Treaty(1971),Status: Terminated,1971,1972,1968,2009,NLD,ZAF,NLD - ZAF
Netherlands,Zambia,Income Tax Treaty(1977),Status: Terminated,1977,1982,1983,2019,NLD,ZMB,NLD - ZMB
Nigeria,Norway,Income Tax Treaty(1955),Status: Terminated,1955,1955,1955,1993,NGA,NOR,NGA - NOR
Norway,Seychelles,Income Tax Treaty(1955),Status: Terminated,1955,1955,1955,1988,NOR,SYC,NOR - SYC
Norway,Zambia,Income Tax Treaty(1971),Status: Terminated,1971,1973,1970,2018,NOR,ZMB,NOR - ZMB
Seychelles,South Africa,Income Tax Treaty(1960),Status: Terminated,1960,1960,1951,2003,SYC,ZAF,SYC - ZAF
India,Korea (Rep.),Income Tax Treaty(1985),Status: Terminated,1985,1986,1984,2017,IND,KOR,IND - KOR
India,Kyrgyzstan,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,IND,KGZ,IND - KGZ
India,Malaysia,Income Tax Treaty(2001),Status: Terminated,2001,2003,2004,2013,IND,MYS,IND - MYS
India,Malaysia,Income Tax Treaty(1976),Status: Terminated,1976,1977,1972,2004,IND,MYS,IND - MYS
India,Malta,Income Tax Treaty(1994),Status: Terminated,1994,1995,1996,2015,IND,MLT,IND - MLT
India,Nepal,Income Tax Treaty(1987),Status: Terminated,1987,1988,1989,2013,IND,NPL,IND - NPL
India,Norway,Income and Capital Tax Treaty(1986),Status: Terminated,1986,1987,1978,2012,IND,NOR,IND - NOR
India,Norway,Income Tax Treaty(1959),Status: Terminated,1959,1960,1958,1987,IND,NOR,IND - NOR
India,Romania,Income Tax Treaty(1987),Status: Terminated,1987,1987,1988,2014,IND,ROU,IND - ROU
India,Russia,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,1999,IND,RUS,IND - RUS
India,Singapore,Income Tax Treaty(1981),Status: Terminated,1981,1982,1979,1994,IND,SGP,IND - SGP
India,Sri Lanka,Income and Capital Tax Treaty(1982),Status: Terminated,1982,1983,1979,2014,IND,LKA,IND - LKA
India,Sweden,Income and Capital Tax Treaty(1988),Status: Terminated,1988,1988,1989,1998,IND,SWE,IND - SWE
India,Sweden,Income Tax Treaty(1958),Status: Terminated,1958,1959,1958,1989,IND,SWE,IND - SWE
India,Syria,Income Tax Treaty(1984),Status: Terminated,1984,1985,1983,2010,IND,SYR,IND - SYR
India,Tajikistan,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,2010,IND,TJK,IND - TJK
India,Tanzania,Income Tax Treaty(1979),Status: Terminated,1979,1981,1982,2012,IND,TZA,IND - TZA
India,Thailand,Income Tax Treaty(1985),Status: Terminated,1985,1986,1987,2016,IND,THA,IND - THA
India,Turkmenistan,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,IND,TKM,IND - TKM
India,Ukraine,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,IND,UKR,IND - UKR
India,United Kingdom,Income Tax Treaty(1981),Status: Terminated,1981,1981,1982,1994,IND,GBR,IND - GBR
India,Uzbekistan,Income Tax Treaty(1988),Status: Terminated,1988,1989,1990,NA,IND,UZB,IND - UZB
Indonesia,Mauritius,Income Tax Treaty(1996),Status: Terminated,1996,1998,1998,2005,IDN,MUS,IDN - MUS
Indonesia,Netherlands,Income Tax Treaty(1973),Status: Terminated,1973,1974,1971,2004,IDN,NLD,IDN - NLD
Indonesia,Thailand,Income and Capital Tax Treaty(1981),Status: Terminated,1981,1982,1982,2004,IDN,THA,IDN - THA
Seychelles,Switzerland,Income Tax Treaty(1963),Status: Terminated,1963,1961,1961,1983,SYC,CHE,SYC - CHE
Singapore,South Africa,Income Tax Treaty(1996),Status: Terminated,1996,1997,1998,2017,SGP,ZAF,SGP - ZAF
South Africa,Sweden,Income Tax Treaty(1955),Status: Terminated,1955,1956,1955,1996,ZAF,SWE,ZAF - SWE
South Africa,Switzerland,Income Tax Treaty(1967),Status: Terminated,1967,1968,1965,2010,ZAF,CHE,ZAF - CHE
South Africa,Tanzania,Income Tax Treaty(1959),Status: Terminated,1959,1960,1953,NA,ZAF,TZA,ZAF - TZA
South Africa,Trinidad and Tobago,Income Tax Treaty(1960),Status: Terminated,1960,1960,1951,NA,ZAF,TTO,ZAF - TTO
South Africa,Uganda,Income Tax Treaty(1959),Status: Terminated,1959,1960,1953,NA,ZAF,UGA,ZAF - UGA
South Africa,United Kingdom,Income Tax Treaty(1968),Status: Terminated,1968,1969,1968,2003,ZAF,GBR,ZAF - GBR
South Africa,Zimbabwe,Income Tax Treaty(1965),Status: Terminated,1965,1965,1963,2017,ZAF,ZWE,ZAF - ZWE
South Africa,Swaziland,Income Tax Treaty(1972),Status: Terminated,1972,1973,1971,2005,ZAF,SWZ,ZAF - SWZ
Switzerland,Tanzania,Income Tax Treaty(1963),Status: Terminated,1963,1961,1961,NA,CHE,TZA,CHE - TZA
Switzerland,Zambia,Income Tax Treaty(1961),Status: Terminated,1961,1961,1959,2020,CHE,ZMB,CHE - ZMB
Switzerland,Zimbabwe,Income Tax Treaty(1961),Status: Terminated,1961,1961,1959,NA,CHE,ZWE,CHE - ZWE
Uganda,United Kingdom,Income Tax Treaty(1952),Status: Terminated,1952,NA,1950,1994,UGA,GBR,UGA - GBR
United Kingdom,Zambia,Income and Capital Tax Treaty(1972),Status: Terminated,1972,1973,1972,2016,GBR,ZMB,GBR - ZMB
Swaziland,Sweden,Income Tax Treaty(1972),Status: Terminated,1972,NA,1972,1988,SWZ,SWE,SWZ - SWE
Indonesia,United Kingdom,Income and Capital Tax Treaty(1974),Status: Terminated,1974,1976,1974,1995,IDN,GBR,IDN - GBR
Ireland,Pakistan,Income Tax Treaty(1973),Status: Terminated,1973,1977,1968,2017,IRL,PAK,IRL - PAK
Israel,Singapore,Income Tax Treaty(1971),Status: Terminated,1971,1972,1971,2006,ISR,SGP,ISR - SGP
Italy,Kazakhstan,Income Tax Treaty(1985),Status: Terminated,1985,1989,1990,NA,ITA,KAZ,ITA - KAZ
Italy,Uzbekistan,Income Tax Treaty(1985),Status: Terminated,1985,1989,1990,NA,ITA,UZB,ITA - UZB
Japan,Kazakhstan,Income Tax Treaty(1986),Status: Terminated,1986,1986,1987,NA,JPN,KAZ,JPN - KAZ
Japan,Korea (Rep.),Income Tax Treaty(1970),Status: Terminated,1970,1970,1970,2000,JPN,KOR,JPN - KOR
Japan,Malaysia,Income Tax Treaty(1970),Status: Terminated,1970,1970,1970,2000,JPN,MYS,JPN - MYS
Japan,Montserrat,Income Tax Treaty(1970),Status: Terminated,1970,1970,1963,2001,JPN,MSR,JPN - MSR
Japan,Netherlands,Income Tax Treaty(1970),Status: Terminated,1970,1970,1970,2012,JPN,NLD,JPN - NLD
