year,value,host,type_fdi,home,indicator
2008,NA,GHA,total,ESP,million_USD
2009,NA,GHA,total,ESP,million_USD
2010,NA,GHA,total,ESP,million_USD
2011,NA,GHA,total,ESP,million_USD
2012,NA,GHA,total,ESP,million_USD
2013,0,GHA,total,ESP,million_USD
2014,0,GHA,total,ESP,million_USD
2015,NA,GHA,total,ESP,million_USD
2016,NA,GHA,total,ESP,million_USD
2017,NA,GHA,total,ESP,million_USD
2018,NA,GHA,total,ESP,million_USD
2019,NA,GHA,total,ESP,million_USD
2007,1.6171649727548818,GTM,total,ESP,million_USD
2008,0.5441792673582155,GTM,total,ESP,million_USD
2009,4.9235799028673934,GTM,total,ESP,million_USD
2010,6.23086825160511,GTM,total,ESP,million_USD
2011,8.073339328019777,GTM,total,ESP,million_USD
2012,162.1917470302106,GTM,total,ESP,million_USD
2013,211.22392737849378,GTM,total,ESP,million_USD
2014,327.688089190252,GTM,total,ESP,million_USD
2015,264.25280928795866,GTM,total,ESP,million_USD
2016,239.30149952237107,GTM,total,ESP,million_USD
2017,185.86634071617223,GTM,total,ESP,million_USD
2018,296.54937037435064,GTM,total,ESP,million_USD
2019,235.99648932692693,GTM,total,ESP,million_USD
2007,NA,GIN,total,ESP,million_USD
2008,NA,GIN,total,ESP,million_USD
2009,NA,GIN,total,ESP,million_USD
2010,0,GIN,total,ESP,million_USD
2011,0,GIN,total,ESP,million_USD
2012,0,GIN,total,ESP,million_USD
2013,NA,GIN,total,ESP,million_USD
2014,NA,GIN,total,ESP,million_USD
2015,0,GIN,total,ESP,million_USD
2016,0,GIN,total,ESP,million_USD
2017,0,GIN,total,ESP,million_USD
2018,NA,GIN,total,ESP,million_USD
2019,NA,GIN,total,ESP,million_USD
2007,NA,GNQ,total,ESP,million_USD
2008,NA,GNQ,total,ESP,million_USD
2009,NA,GNQ,total,ESP,million_USD
2010,NA,GNQ,total,ESP,million_USD
2011,NA,GNQ,total,ESP,million_USD
2012,NA,GNQ,total,ESP,million_USD
2013,NA,GNQ,total,ESP,million_USD
2014,NA,GNQ,total,ESP,million_USD
2015,NA,GNQ,total,ESP,million_USD
2016,NA,GNQ,total,ESP,million_USD
2017,NA,GNQ,total,ESP,million_USD
2018,NA,GNQ,total,ESP,million_USD
2019,NA,GNQ,total,ESP,million_USD
2007,NA,HND,total,ESP,million_USD
2008,0,HND,total,ESP,million_USD
2009,0,HND,total,ESP,million_USD
2010,0,HND,total,ESP,million_USD
2011,0,HND,total,ESP,million_USD
2012,34.99764883636672,HND,total,ESP,million_USD
2013,38.063869206914184,HND,total,ESP,million_USD
2014,38.7656630283449,HND,total,ESP,million_USD
2015,32.852692123342386,HND,total,ESP,million_USD
2016,30.06350306224894,HND,total,ESP,million_USD
2017,42.61155030580452,HND,total,ESP,million_USD
2018,46.04539823541845,HND,total,ESP,million_USD
2019,36.53965851539726,HND,total,ESP,million_USD
2007,33.74118782137728,IND,total,ESP,million_USD
2008,34.577444798896344,IND,total,ESP,million_USD
2009,40.950794886171856,IND,total,ESP,million_USD
2010,85.62803837684557,IND,total,ESP,million_USD
2011,74.76190608757625,IND,total,ESP,million_USD
2012,49.875503958434514,IND,total,ESP,million_USD
2013,43.256811586503666,IND,total,ESP,million_USD
